company;playlist_sample;namesfiles;no;artist;song;sampleratefiles;totalsamplesfiles;durationfiles;bitratefiles;rmsfiles;rmsmedianfiles;lowenergyfiles;ASRfiles;beatspectrumfiles;eventdensityfiles;tempofiles;pulseclarityfiles;zerocrossfiles;rolloffsfiles;brightnessfiles;spreadfiles;centroidfiles;kurtosisfiles;flatnessfiles;entropyfiles;mfccfiles_1;mfccfiles_2;mfccfiles_3;mfccfiles_4;mfccfiles_5;mfccfiles_6;mfccfiles_7;mfccfiles_8;mfccfiles_9;mfccfiles_10;mfccfiles_11;mfccfiles_12;mfccfiles_13;pitchfiles;inharmonicityfiles;bestkeyfiles;keyclarityfiles;modalityfiles;tonalcentroidfiles_1;tonalcentroidfiles_2;tonalcentroidfiles_3;tonalcentroidfiles_4;tonalcentroidfiles_5;tonalcentroidfiles_6;chromagramfiles_1;chromagramfiles_2;chromagramfiles_3;chromagramfiles_4;chromagramfiles_5;chromagramfiles_6;chromagramfiles_7;chromagramfiles_8;chromagramfiles_9;chromagramfiles_10;chromagramfiles_11;chromagramfiles_12;attackslopefiles;attackleapfiles
Specialized;3;20 - The Oh Hellos - Like the Dawn (David K Remix).mp3                                                                                        ;20; The Oh Hellos ; Like the Dawn (David K Remix).mp3                                                                                        ;44100;16291579;369.4235625;128;0.206519403;0.074037902;0.604010025;0.538847118;0.022291705;2.5;116.9986003;0.811582014;1089.34753;9666.810036;0.539986017;4197.34906;4207.495444;1.725339565;0.030753931;0.861274668;1.901815276;1.253922331;0.006546875;0.162847857;0.281771182;0.487252233;-0.014163666;0.270285636;0.186972814;0.016689613;0.022727578;0.032254275;-0.047856988;0;0.416119081;6;0.474797437;-0.147499584;-0.305320803;0.292813845;-1.064892829;1.084167147;-0.426600616;0.185274207;0.757929356;0.27149081;0.162930798;0.104212008;0.212169619;0.563891199;0.240536118;0.168374016;0.999999873;0.894966124;0.482464784;0.392869281;47.10088171;0.968794165
Specialized;3;20 - The Oh Hellos - Like the Dawn (David K Remix).mp3                                                                                        ;20; The Oh Hellos ; Like the Dawn (David K Remix).mp3                                                                                        ;44100;16291579;369.4235625;128;0.057781952;0.017273476;0.709273183;0.709273183;0;2.3;157.3408614;0.381180256;2229.794944;10658.85143;0.790648409;3906.716832;6179.611493;1.805905815;0.04031193;0.913516463;0.911986067;1.841645467;0.829817096;0.396413188;0.11255763;0.488885426;0.068483657;0.20363058;0.174833374;0.137213721;0.101807309;0.033399576;-0.057401928;0;0.469016128;9;0.38859148;0.049300504;-0.168936548;0.498506505;-0.485581165;1.383585394;-0.174288245;0.401115848;0.999999799;0.221720281;0.107039835;0.095017971;0.067317732;0.024117325;0.031328097;0.215707778;0.94467705;0.871923606;0.490041255;0.321454297;4.312686589;0.856621617
Specialized;3;20 - The Oh Hellos - Like the Dawn (David K Remix).mp3                                                                                        ;20; The Oh Hellos ; Like the Dawn (David K Remix).mp3                                                                                        ;44100;16291579;369.4235625;128;0.265542419;0.181951359;0.616541353;0.215538847;0.066388994;3.1;117.0028354;0.837729321;411.0990678;4524.075508;0.325357402;2773.125571;1900.364181;6.322863889;0.036791428;0.814651011;2.743065667;0.348918421;0.571644285;0.160057058;0.280241018;0.220834637;0.152529883;0.202826417;0.153719562;0.016985894;0.068016665;0.010717133;-0.114936321;0;0.471163909;9;0.807487494;0.100319011;-1.615100205;0.138255055;0.168048786;0.903824567;-0.425804346;0.127735003;0.256651214;0.006157207;0.015109085;0.618303612;0.015617399;0.302842266;0.026282634;0.039251954;0.999999918;0.23398786;0.327052245;0.053480553;26.10552486;0.288174068
Specialized;3;21 - Pomo - Start Again (feat. Andrea Cormier).mp3                                                                                            ;21; Pomo ; Start Again (feat. Andrea Cormier).mp3                                                                                            ;44100;10866813;246.413;128;0.201934907;0.105960265;0.516290727;0.388471178;0.097368982;4.3;107.13391;0.688384282;1659.796236;7784.421158;0.546472682;3549.82724;3429.409739;2.628968432;0.040064866;0.891969487;1.550080224;0.617808999;0.230332309;0.137072133;-0.02300134;0.016022027;0.254532785;0.273976222;0.137091291;-0.024414156;-0.133882709;-0.071301704;-0.135199371;0;0.459231804;8;0.380541797;-0.077459087;0.587834034;0.588644055;-0.016909237;0.137848359;0.1554676;-0.028411806;0.515628489;0.452211301;0.431931098;0.291852721;0.256687371;0.283287542;0.174437613;0.881997527;0.599265912;0.999999945;0.627364702;0.544739305;3.309247708;0.441563072
Specialized;3;21 - Pomo - Start Again (feat. Andrea Cormier).mp3                                                                                            ;21; Pomo ; Start Again (feat. Andrea Cormier).mp3                                                                                            ;44100;10866813;246.413;128;0.208245699;0.109958187;0.546365915;0.378446115;0.086869738;4.2;107.0503158;0.684643445;1649.54626;7872.488594;0.553271159;3565.337935;3477.976752;2.568476682;0.033622757;0.893247791;1.530303204;0.583848331;0.225287305;0.171478042;-0.006779024;0.012258656;0.212182359;0.218070006;0.090749894;-0.068077698;-0.108470175;0.039672445;-0.037752426;0;0.459756623;8;0.3905543;-0.055826761;0.56471694;0.631629299;-0.123345138;0.075652699;0.09502229;-0.009765254;0.552104253;0.427190393;0.478781183;0.31143268;0.29366655;0.344081759;0.177934155;0.772271045;0.564193077;0.999999947;0.677595844;0.564223235;16.59062617;0.329456663
Specialized;3;21 - Pomo - Start Again (feat. Andrea Cormier).mp3                                                                                            ;21; Pomo ; Start Again (feat. Andrea Cormier).mp3                                                                                            ;44100;10866813;246.413;128;0.143788079;0.035340436;0.604010025;0.593984962;0.131009777;2;107.1900142;0.566145324;1632.496298;7962.238312;0.546501774;3581.941532;3489.316766;2.391463855;0.027077627;0.892602299;1.633191411;0.661388665;0.321268605;0.254359852;0.019133846;0.120873924;0.294355306;0.256066114;0.105064033;0.006668837;-0.085458426;-0.032686607;-0.12017537;0;0.463334504;10;0.326394388;-0.095431647;0.486298548;0.19654135;-0.21155152;0.210809654;0.075426384;0.005528641;0.587262053;0.615823183;0.511642899;0.348907503;0.308714418;0.256349418;0.209216496;0.682525298;0.650053287;0.999999952;0.614360709;0.629188232;23.47554306;0.408860479
Specialized;3;22 - Palais - Games.mp3                                                                                                                       ;22; Palais ; Games.mp3                                                                                                                       ;44100;10055803;228.02275;128;0.243562545;0.160832539;0.521303258;0.315789474;0.068096926;3.9;115.0422061;0.638937211;757.7482817;7185.444832;0.505125972;3436.608176;3060.222804;3.282328553;0.026500078;0.879328579;1.800163783;0.273797337;0.276417562;-0.111826254;0.11375437;-0.025259465;0.201050735;0.115238574;0.115114363;-0.007489051;-0.036729591;-0.045583852;-0.05105429;0;0.459221615;1;0.499316668;-0.026465313;0.289672503;0.943539729;-0.078746037;0.572110909;-0.37144199;0.145996301;0.999999873;0.234581771;0.625099517;0.181050737;0.157549383;0.307736376;0.147460189;0.333380853;0.58344605;0.514222766;0.39632469;0.463363286;12.80913614;0.482660586
Specialized;3;22 - Palais - Games.mp3                                                                                                                       ;22; Palais ; Games.mp3                                                                                                                       ;44100;10055803;228.02275;128;0.069165945;0.013641774;0.533834586;0.533834586;0.035195638;1.4;111.8414615;0.182900257;774.6982433;4882.317352;0.398628584;3101.417803;2442.111793;5.279320545;0.030654161;0.857617794;3.179207837;-0.433027663;0.413859361;-0.550379142;-0.01069558;-0.053375304;0.140661834;0.230593266;0.014378505;-0.175631918;0.164262706;-0.06009348;0.066385031;0;0.447750761;11;0.668431393;0.046353259;0.445418028;2.050942268;-0.055207005;-0.455881957;-0.234131423;-0.020618832;0.83087599;0.116105643;0.999999922;0.155083607;0.000192592;0.363062226;0.00022591;0.426906195;0.092741643;0.16559929;0.379466351;0.007570351;11.22876891;0.436753555
Specialized;3;22 - Palais - Games.mp3                                                                                                                       ;22; Palais ; Games.mp3                                                                                                                       ;44100;10055803;228.02275;128;0.069165945;0.013641774;0.533834586;0.533834586;0.035195638;1.4;111.8414615;0.182900257;774.6982433;4882.317352;0.398628584;3101.417803;2442.111793;5.279320545;0.030654161;0.857617794;3.179207837;-0.433027663;0.413859361;-0.550379142;-0.01069558;-0.053375304;0.140661834;0.230593266;0.014378505;-0.175631918;0.164262706;-0.06009348;0.066385031;0;0.447750761;11;0.668431393;0.046353259;0.445418028;2.050942268;-0.055207005;-0.455881957;-0.234131423;-0.020618832;0.83087599;0.116105643;0.999999922;0.155083607;0.000192592;0.363062226;0.00022591;0.426906195;0.092741643;0.16559929;0.379466351;0.007570351;11.22876891;0.436753555
Specialized;3;23 - SG Lewis - All Night.mp3                                                                                                                 ;23; SG Lewis ; All Night.mp3                                                                                                                 ;44100;8197628;185.88725;128;0.136310116;0.080233164;0.461152882;0.273182957;0.115495747;3.6;92.99796915;0.576384554;1079.497552;8177.402115;0.58800526;3613.40234;3770.546144;2.257290984;0.027248494;0.895447735;1.452731374;1.040498953;0.591279345;0.453934158;-0.028801515;0.165862805;0.221512035;0.247223511;0.089927455;-0.017511875;0.041092834;0.08344034;-0.082846007;0;0.496147922;12;0.884111875;-0.236773377;1.044441275;-1.35656864;0.358523033;-0.937509248;-0.460071767;0.103864526;0.020160248;0.188255978;0.381112407;0.039507969;0.048009859;0.022092284;0.623369719;0.103251232;0.177237215;0.573887747;0.178434445;0.999999842;3.55726063;0.571202132
